q_id,name,birth_date,occupation,job_group,exalted_planets,exalted_count,sign_conjunctions,conjunction_count,sign_exchange_candidates,exchange_count,Sun_exalted,Moon_exalted,Mercury_exalted,Venus_exalted,Mars_exalted,Jupiter_exalted,Saturn_exalted
Q1149,Kjell Aukrust,1920-03-19,"Norwegian author, poet, and painter",Writer_Journalism,Jupiter,1,Sun-Mercury,1,None,0,False,False,False,False,False,True,False
Q1150,Emma Andijewska,1931-03-19,"Ukrainian poet, writer and painter",Writer_Journalism,None,0,Sun-Moon|Sun-Mercury|Moon-Mercury,3,Jupiter-Mercury,1,False,False,False,False,False,False,False
Q1151,Nate Bowman,1943-03-19,American basketball player,Athlete,Mars,1,None,0,None,0,False,False,False,False,True,False,False
Q1152,Warren Lees,1952-03-19,New Zealand cricketer and coach,Athlete,None,0,Mercury-Jupiter,1,None,0,False,False,False,False,False,False,False
Q1153,Yoko Kanno,1964-03-19,Japanese pianist and composer,Other,Moon,1,Sun-Mercury|Sun-Mars,2,None,0,False,True,False,False,False,False,False
Q1154,David Ross,1977-03-19,American baseball player and manager,Athlete,None,0,Sun-Moon|Sun-Mercury|Moon-Mercury,3,None,0,False,False,False,False,False,False,False
Q1155,Clayton Kershaw,1988-03-19,American baseball player,Athlete,None,0,None,0,Jupiter-Mars,1,False,False,False,False,False,False,False
Q1156,Wareru,1253-03-20,"founder of Ramanya Kingdom, renamed Hanthawady Kingdom of Pegu",Politics_Government,None,0,Sun-Mercury,1,Jupiter-Mars,1,False,False,False,False,False,False,False
Q1157,Ivan Mazepa,1639-03-20,"Ukrainian diplomat, Hetman of Ukraine",Other,Venus,1,Sun-Venus,1,None,0,False,False,False,True,False,False,False
Q1158,Napoleon II,1811-03-20,French emperor,Politics_Government,None,0,None,0,None,0,False,False,False,False,False,False,False
Q1159,Ismail Gasprinski,1851-03-20,"Crimean Tatar educator, publisher, and politician",Politics_Government,None,0,None,0,None,0,False,False,False,False,False,False,False
Q1160,Philipp Frank,1884-03-20,"Austrian-American physicist, mathematician, and philosopher",Academic_Science,Jupiter,1,None,0,Jupiter-Moon,1,False,False,False,False,False,True,False
